CNT,Country
ARE,United Arab Emirates
ARM,Armenia
AUS,Australia
BFL,Belgium (Flemish)
BGR,Bulgaria
BHR,Bahrain
BWA,Botswana
CAN,Canada
CHL,Chile
CYP,Cyprus
CZE,Czech Republic
DEU,Germany
DNK,Denmark
EGY,Egypt
ENG,England
ESP,Spain
FIN,Finland
FRA,France
GEO,Georgia
HKG,Hong Kong
HRV,Croatia
HUN,Hungary
IDN,Indonesia
ISR,Israel
IRL,Ireland
IRN,Iran
ITA,Italy
JOR,Jordan
JPN,Japan
KAZ,Kazakhstan
KOR,South Korea
KWT,Kuwait
LBN,Lebanon
LTU,Lithuania
MAR,Morocco
MLT,Malta
MYS,Malaysia
NIR,Northern Ireland
NLD,Netherlands
NOR,Norway
NZL,New Zealand
OMN,Oman
POL,Poland
PRT,Portugal
QAT,Qatar
RUS,Russia
SAU,Saudi Arabia
SGP,Singapore
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
THA,Thailand
TUR,Turkey
TWN,Taiwan
USA,United States
ZAF,South Africa
