CNT,Country
ARE,United Arab Emirates
AUS,Australia
AUT,Austria
AZE,Azerbaijan
BFL,Belgium (Flemish)
BFR,Belgium (French)
BGR,Bulgaria
BHR,Bahrain
CAN,Canada
CHL,Chile
CZE,Czech Republic
DEU,Germany
DNK,Denmark
EGY,Egypt
ENG,England
ESP,Spain
FIN,Finland
FRA,France
GEO,Georgia
HKG,Hong Kong
HUN,Hungary
ISR,Israel
IRL,Ireland
IRN,Iran
ITA,Italy
KAZ,Kazakhstan
KWT,Kuwait
LTU,Lithuania
LVA,Latvia
MAC,Macao
MAR,Morocco
MLT,Malta
NIR,Northern Ireland
NLD,Netherlands
NOR,Norway
NZL,New Zealand
OMN,Oman
POL,Poland
PRT,Portugal
QAT,Qatar
RUS,Russia
SAU,Saudi Arabia
SGP,Singapore
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
TTO,Trinidad and Tobago
TWN,Taiwan
USA,United States
ZAF,South Africa
