"","Names","ARE.4","ARM.4","AUS.4","BFL.4","BGR.4","BHR.4","CAN.4","CHL.4","CYP.4","CZE.4","DEU.4","DNK.4","ENG.4","ESP.4","FIN.4","FRA.4","GEO.4","HKG.4","HRV.4","HUN.4","IDN.4","IRL.4","IRN.4","ITA.4","JPN.4","KAZ.4","KOR.4","KWT.4","LTU.4","MAR.4","NIR.4","NLD.4","NOR.4","NZL.4","OMN.4","POL.4","PRT.4","QAT.4","RUS.4","SAU.4","SGP.4","SRB.4","SVK.4","SVN.4","SWE.4","TUR.4","TWN.4","USA.4","BHR.N","IDN.N","IRN.N","JOR.N","KWT.N","MAR.N","ZAF.N","ARE.8","ARM.8","AUS.8","BHR.8","BWA.8","CAN.8","CHL.8","EGY.8","ENG.8","GEO.8","HKG.8","HUN.8","IRL.8","IRN.8","ISR.8","ITA.8","JPN.8","KAZ.8","KOR.8","KWT.8","LBN.8","LTU.8","MAR.8","MLT.8","MYS.8","NOR.8","NZL.8","OMN.8","QAT.8","RUS.8","SAU.8","SGP.8","SVN.8","SWE.8","THA.8","TUR.8","TWN.8","USA.8","ZAF.8"
"1","Size","21177","5384","6057","5404","4228","4146","12283","4756","4125","5202","3948","3710","4006","7764","5015","4873","3919","3600","3985","5036","4025","4344","3823","4373","4383","4702","4669","3593","4529","5068","3116","4515","4329","6322","9105","4747","4693","5194","4921","4337","6517","4036","5773","4445","4142","6456","4291","10029","4429","4294","4105","7861","3703","5360","10932","18012","5060","10338","4918","5964","8757","4849","7822","4814","4035","4155","4893","4704","6130","5512","4481","4745","4887","5309","4503","3873","4347","13035","3817","9726","4697","8142","8883","5403","4780","3759","6116","4257","4090","6482","6079","5711","10221","12514"
"2","FSize","10314","2582","2963","2732","2081","2104","6035","2322","2030","2583","1895","1833","2028","3795","2437","2392","1897","1617","1937","2506","1928","2060","1863","2121","2199","2312","2258","1782","2252","2479","1514","2245","2146","3074","4524","2361","2294","2547","2443","2181","3178","1969","2804","2151","2054","3178","2088","5071","2254","2082","2009","4277","1827","2577","5331","8862","2458","5217","2296","3030","4455","2321","4016","2441","1935","1974","2474","2430","3000","2698","2224","2418","2387","2605","2272","2078","2106","6223","1882","5015","2352","4307","4378","2673","2295","1998","2978","2052","1975","3509","2943","2796","5119","6426"
"3","MSize","10860","2801","3094","2672","2147","2042","6226","2434","2095","2619","2047","1877","1978","3969","2578","2480","2022","1983","2048","2530","2097","2284","1960","2250","2184","2390","2411","1805","2277","2589","1601","2268","2183","3248","4581","2386","2399","2647","2478","2156","3339","2067","2969","2294","2078","3278","2203","4958","2175","2212","2096","3584","1873","2783","5601","9150","2601","5114","2622","2934","4299","2528","3806","2373","2100","2181","2419","2274","3130","2814","2257","2327","2500","2704","2219","1795","2241","6804","1935","4711","2345","3835","4505","2730","2485","1761","3138","2205","2104","2973","3136","2915","5098","6087"
"4","M/F Wt Ratio","1.09907144314823","1.05573886156847","1.05751093915563","0.995507187903213","1.03826823112309","1.00837276305478","1.03533306933755","1.04724898628483","1.03354809481971","1.02626452536319","1.08220537656055","1.02635872784747","0.963892487756112","1.02792064034848","1.0769269286457","1.04651529150028","1.05874876051338","1.18574423376474","1.04734557410623","1.02539971702247","1.08296546169173","1.1152983546933","1.03210209639268","1.04860587793849","1.00167574278662","1.05163433026189","1.07251717872623","0.970925971075927","0.999751912320781","1.08215436409604","1.01796148387789","0.994224281229799","1.02698320508597","1.02948277194902","1.01880768737862","0.992480197890991","1.04024986141043","0.971178937909578","1.03546320905713","1.04507711713398","1.06671217936897","1.06384872713459","1.06253363185487","1.05064424712695","1.02185729470732","1.02303861969968","1.05846834048895","0.971838915915146","0.984714419360018","1.09277676923879","1.003157966679","1.16330022027504","0.969622216372964","1.09141326561629","1.08664838226668","0.999584999741012","1.10374656721657","0.95499564035067","1.07494191783519","0.956201046318057","0.979356012834084","1.10262191199177","0.887725101108757","0.958527914597033","1.11617398650345","1.10570434245507","1.01379986004795","0.985373026608863","1.10101060960538","1.03630327400711","1.03415453341915","0.960615444553259","1.02168851910949","1.10922931370079","0.991698152780149","0.873914037899199","1.01109673321424","1.16970928796002","1.04417350622039","1.01119853194457","1.00325799170351","0.949577497194495","1.0847920545712","0.986701305911536","1.0541331266275","0.95598396020514","1.06146053300128","1.06609880488531","1.08011859025746","0.860655272564413","1.0718406075044","1.05234191412295","1.00188468276109","0.948500137714487"
"5","Low %","12.2581389654948","5.81541408992367","3.25420143144456","0.670440639939862","3.60845459210368","9.7628894563174","3.40300097320126","7.44855204692311","2.95020410499366","1.82345217316349","1.83699349914078","2.1994310496806","1.8020496427791","2.69507888898416","1.30101205645387","4.21693381001041","8.34732872385194","0.206383798610934","2.79987899296542","4.03761307986393","19.2219176810577","1.1559348943783","14.3994809202596","2.70629990160034","0.391351423488577","1.22713999806592","0.136576919513475","31.8940552205234","1.45875181837295","20.9084825474147","1.52112211263764","1.10361017093006","1.30998806825437","5.8676187197945","13.552217137091","1.77168745819472","1.39226631353442","13.075376714187","0.752560952863699","22.1500881730188","0.698017516512368","4.22829717970011","4.8410360362374","2.38263878976451","2.17968398119708","6.62991101998011","0.262463939660886","1.99890400307312","1.14146185793126","1.96070676042208","2.79777488133406","4.93535859805631","7.84824572400264","3.8155347402083","3.34299975914935","11.838535716507","10.918611394601","5.48252434258353","8.67782674705608","23.2527779203425","2.998354248823","17.6825855666355","23.7035596667736","4.04408574300614","13.3874604452113","1.30022502911257","5.85415968124584","3.13262138477083","16.0469993102323","7.79644637952877","5.41833234512371","1.36275009926702","5.11316309095348","0.81454403150123","24.1626960690832","15.1988178803197","4.6308120480835","26.0093396136116","7.64553998781031","9.95135987895972","4.29879614125238","7.14666688271853","20.9607989078282","16.4759130045663","2.9784086980542","29.9728768707612","0.705040320656619","3.01173320044344","5.82768510737296","15.4925602546492","13.2773699957026","2.21332856606306","4.17274291798605","30.2296527601424"
"6","Mean","451.581728887678","481.02713222154","517.226647330108","545.657492201492","524.283980811928","450.236052982939","510.556363430114","458.582254026397","523.026371000028","528.137979417856","521.633971100171","538.653288359268","546.186689219446","505.094896512159","535.288024297076","488.167841632448","463.149077922248","614.519712773461","502.335228732319","529.190777366344","389.136861184104","547.336752998183","423.56761975882","506.848292703509","592.825954080133","544.420039538099","608.035062268807","351.050161708841","535.340915925897","379.473560646232","570.261013040462","529.818687808979","549.07990213592","490.560917220002","425.482812065031","534.772747550383","541.200168339875","438.995842477843","563.922134107483","383.489079620199","617.671362359147","517.998427567368","498.247261524455","519.874923433947","518.6466705591","483.150118116854","596.618982374355","539.155579827981","451.829510397638","405.788698454163","439.408496702042","388.466097406623","355.078342970497","375.435531890214","375.737578548076","464.783326786189","471.460592414767","504.958155656836","453.95255942619","390.835136253306","527.278910103454","427.42622543132","392.226951503124","518.255120840349","453.195388818484","594.252899708288","514.414374427269","523.494376898495","436.34915333004","510.899358300746","494.394177378642","586.469005130042","527.806839006675","605.742188023184","392.470699856507","442.425102214087","511.313193952595","384.387111213702","493.541059793735","465.313049154604","511.542015257368","492.720402531613","403.156444773546","437.108756507654","537.996246092302","367.716745289263","620.955997254518","516.34108250647","500.721766552683","431.417371513899","457.628581738427","599.105016315126","518.295770004557","372.372867423043"
"7","Median","453.574622976113","484.606213455572","520.703016306285","545.904375602788","531.325311332291","454.061519212754","513.788315401986","459.619796320112","527.302809818368","530.081767869614","523.534238564254","542.169449795617","547.257129533621","507.537284737695","538.373152574448","490.611388591149","468.839510583745","615.9123958161","504.960719751529","536.788189310795","390.49783600633","551.617954574246","430.753569863368","509.968960168423","594.267958347626","543.46798179606","610.512882194782","349.479127494079","540.291258101251","376.767158395145","576.417735973753","531.364955426198","550.27122608316","494.638195697019","427.868581304109","538.721544202182","542.821633935699","440.561191547746","565.373827499487","383.442157635336","625.14512769129","523.097688482356","505.527711595796","522.487888178941","521.928770396137","491.71423399","598.98020557283","542.985565945141","457.043273241828","410.588624636358","451.16463478336","399.996619933187","358.527391745897","377.714767619831","368.711579614475","465.568839537405","475.970259336886","506.913467939222","453.21738296509","394.730518546496","531.36911333031","427.322546068768","392.512017394668","516.896413424506","455.704050992214","602.4457258686","518.40612179679","529.490016036569","433.667615786793","518.427404603646","497.555359053407","588.505512199737","529.60434800752","611.458291003412","388.85640988171","443.257473155565","514.580869367469","380.556761335739","503.649736414589","463.877695929923","514.540100983022","493.620246573741","404.999348325065","436.350374363034","541.569852534616","363.975178931553","633.377650477716","518.246319498672","504.052009808279","425.21445213816","453.689979374874","611.851765024859","521.312804234325","364.157993879948"
"8","F Mean","453.414281027682","482.4686455067","512.6018149475","542.821885805945","526.806242475609","459.022852696275","506.081334433384","457.96415861365","519.77381734625","524.561694016594","519.799542775999","535.559431841137","543.103019480533","499.155820955697","540.131776679304","485.034712610029","464.915939523941","609.02139850963","496.125517488982","526.281789036684","392.563527754318","545.075476221867","429.031638812423","496.759986684907","593.061571115458","545.65887400672","604.180346652661","357.506544098338","536.566836966234","380.332400738887","569.128862120595","525.753611672129","550.923476401236","489.388702927701","436.491915087449","534.049398544188","535.637236836713","440.377225303248","564.243483682871","405.415579959399","619.52121051164","519.574555571965","492.539095283172","517.670181694506","519.110502921109","482.153795702875","593.72509758762","535.748222653922","458.353854502926","412.789426541494","444.239574251011","399.08514188477","361.002452058657","375.993897503196","383.752133735125","471.00564464259","474.557452947883","504.007908786639","461.998717905215","400.211976724191","525.127459995007","418.066981299251","396.569636515847","519.757268381177","453.659912533898","591.472213622295","509.765208693068","520.910128456445","437.979725540733","509.855066378725","491.000027476567","587.557693648733","531.05270664256","605.044752991182","395.774653942052","441.224367200864","509.915107685643","385.32107247296","495.01380326665","470.009628933566","510.868913461179","493.965111355367","419.777773605214","440.35212769358","533.175323434632","374.726508148575","625.74695685164","515.091722592105","497.389452613241","439.543373889524","460.951692110778","599.067782613954","517.45241081446","375.79976857112"
"9","F Median","455.412428259421","487.626354491549","515.9584864327","543.046233362548","533.407103914098","460.797811655161","509.390839136594","458.759432437689","523.155716267952","526.678944481631","521.580525800686","539.656285969526","544.039618815915","500.987075183427","542.290259812217","488.144204552033","470.288616646211","610.528571014394","498.808061729867","533.167174554338","396.367797547318","548.435610094467","438.362167719741","499.981316638011","594.020491569397","546.385561516665","607.248969973825","356.646362485948","542.113723694446","377.408720378346","574.088689339226","526.464002275965","552.722875002804","492.456894596017","438.239572028696","537.567584091191","537.211715790997","442.149044138245","566.754337252953","407.249895362263","626.365321922491","521.507839910146","500.193820190439","519.396763500847","523.119285588601","489.752128272001","593.841855017911","539.543242570467","460.383267620011","419.205347511807","453.988335931473","407.468541042526","362.150636854543","378.633045968571","378.299612756086","470.739881542287","479.993055266967","505.590773369606","461.671789424664","403.895932964728","528.777121913775","418.43874633811","396.846088067554","518.284557062792","457.709697276331","598.279392448328","515.480824145975","527.36524523528","436.591810957245","517.315417573181","493.796234036259","589.41368695282","532.081265758473","609.281990736972","393.395668191269","441.036539576344","514.156441932099","380.560097876546","504.628150051989","471.801127828451","514.173639377858","496.383866723868","419.74138623987","438.361658451117","537.270305835532","372.694659594671","638.788609741603","516.718582612405","500.199601480581","434.538868466099","455.874481807481","609.768868925531","520.684060164878","367.291668376239"
"10","M Mean","449.926715278784","479.651759137131","521.599966046131","548.505895939811","521.854684038635","441.522212193827","515.146561606699","459.172462678629","526.173349520022","531.622739255965","523.267602730673","541.667689108429","549.385873545585","510.872653396628","530.790270314529","491.141335433599","461.480257454552","619.15672816621","508.264228096867","532.027708449285","385.972709887107","549.364261392506","418.273551398045","516.592350990141","592.590731217822","543.242030763591","611.629145135362","344.701421685195","534.114690674184","378.679921475012","571.365303740526","533.841453820703","547.284766386683","491.699561133472","414.676942459999","535.5015772114","546.54785614982","437.573465229445","563.611790318756","362.508330946521","615.937203709541","516.516893619546","503.61948323128","521.973389918174","518.278960841452","484.124003554602","599.353012931563","542.661672368893","445.203889834949","399.382332319378","434.592627507519","379.337719114357","348.830082797561","374.923933185514","368.362096913133","458.55842559418","468.632651998854","505.982940652314","446.467356416125","381.028787989005","529.509107018774","435.91439715209","387.335026055372","516.687980731071","452.779213812588","596.767754700916","519.000255642503","526.116986176673","434.86817558426","511.907067094313","497.676230294713","585.335681150228","524.629875015032","606.370944424937","389.199954327462","443.799076038914","512.695936296651","383.632773111291","492.130620375246","460.668481712512","512.212931214934","491.409599750975","387.834311133622","433.821671382201","542.569598865205","360.384234336038","616.442443101379","517.512981310445","504.184684680591","421.975725555683","454.528204360405","599.140398067647","519.085863059243","368.751815223617"
