Names,ARE.R,AUS.R,AUT.R,AZE.R,BFL.R,BFR.R,BGR.R,BHR.R,CAN.R,CHL.R,CZE.R,DEU.R,DNK.R,ENG.R,ESP.R,FIN.R,FRA.R,GEO.R,HKG.R,HUN.R,IRL.R,IRN.R,ISR.R,ITA.R,KAZ.R,LTU.R,LVA.R,MAC.R,MAR.R,MLT.R,NIR.R,NLD.R,NOR.R,NZL.R,OMN.R,POL.R,PRT.R,QAT.R,RUS.R,SAU.R,SGP.R,SVK.R,SVN.R,SWE.R,TTO.R,TWN.R,USA.R,ARE.E,CAN.E,DNK.E,GEO.E,IRL.E,ISR.E,ITA.E,NOR.E,PRT.E,SGP.E,SVN.E,SWE.E,TWN.E,USA.E,EGY.L,IRN.L,KWT.L,MAR.L,ZAF.L
FSize,8035,3153,2110,2834,2631,2276,2119,2701,9101,2055,2676,1947,1792,2565,7247,2417,2395,2806,1646,2289,2246,2143,2040,1921,2398,2168,2117,1990,2707,1754,1837,2123,2125,2791,4564,2216,2292,4688,2273,2365,3232,2660,2250,2257,2153,2060,2217,7632,4442,1272,2719,1232,1922,1833,1822,2251,3160,2151,1943,2046,2062,3410,2140,2175,2664,6176
MSize,8436,3188,2250,3160,2567,2347,2162,2779,9136,2239,2861,2012,1716,2530,7348,2479,2371,2935,1703,2334,2361,2242,2001,2019,2527,2149,2039,2069,2780,1893,1856,2083,2105,2855,4670,2197,2350,4389,2304,2376,3256,2791,2249,2268,2024,2266,2208,7934,4428,1234,2838,1241,1876,1934,1788,2307,3160,2152,1936,2253,2028,3547,2241,2417,2786,6631
M/F Wt Ratio,1.05418761152776,0.994718862492584,1.06378961043122,1.12998663729092,0.979755666100033,1.00184000845164,1.02085704637414,1.00572869889177,1.02671377577456,1.09455454927178,1.0358431829004,1.03534781664516,0.961964999234386,0.985473269282866,1.02525114902914,1.00299698526922,0.988630474543617,1.02541539265059,1.04824589746858,1.02451765130449,1.00037879167413,1.16380277768828,0.974251568997707,1.05114720423754,1.05704754584322,0.990996244382948,0.958314522859078,1.03761045796991,1.03561313703898,1.07849038227166,0.990929094441425,0.973108083732561,0.991424025704727,0.990957487958,1.00043278369821,1.01541789804534,1.02429254525976,0.986455928606337,1.03405951939446,1.07523543516019,1.02633213840612,1.04143648619052,1.01677230536021,1.05306340962447,0.929375830802101,1.07941072669371,1.01792667851789,1.04392346184204,1.01484073646015,0.961364927257017,1.04032552729067,0.976663504922716,0.968351133631848,1.05504844859586,0.97946169923913,1.02529879793406,1.02205523333979,1.01409011846364,1.05434390310496,1.08092954758294,1.00262869480114,1.02226164843436,1.1335792228518,0.928583368560748,1.04041150147427,1.08427666189373
Low %,6.42707424325729,1.13707639977356,0.496661254884937,3.13318864527416,0.244156890484861,1.05651025667476,0.607735672850116,5.30043862383109,1.2100453691083,1.98583150225331,0.621993808663336,1.29913659871401,0.562581800567007,0.594418805169594,0.368251796771243,0.377965479697068,0.869289513271585,1.8474142507234,0.411970572995671,0.29830661478241,0.849850309754069,7.9011951007307,1.67472290255412,0.308885865102831,0.279308490815067,0.330219755665044,0.111610808524025,0.276185512004345,16.4529700750266,5.10582609708361,0.655564830052502,0.157659926971687,0.262703913187654,1.96632120514224,7.60174271362299,0.265887240033916,0.299327917351459,6.67718106628753,0.0947439616170457,6.91786586085191,0.601472041532587,1.1976925742798,0.572080375373602,0.303477569423235,3.71898768649373,0.321082376882326,0.646725616047415,4.99308213954688,0.669934444849571,0.169164008660588,2.82980127883116,0.30536614102092,1.08370041264239,0.337640278835785,0.199136034385986,0.193193642711818,0.359869922784503,0.627958334979802,0.362897493001349,0.532353827796906,0.402307116436054,10.2254305583907,3.06711482596943,2.84592653638113,4.00011971030821,7.8042598602105
Mean,450.103572914039,544.360101886518,540.796113870494,472.276888770884,525.058916597883,497.495455395898,551.539111824937,445.999475312486,543.098151430458,493.872100101114,543.348148808644,537.325376578813,547.492369154702,558.681620291586,527.739627470776,566.007015600408,511.243999151473,488.319374602477,568.583339390935,554.160335909747,566.596349148091,431.057031660891,530.287690673566,548.00688935667,536.046298071108,548.278387221757,557.750899065883,545.581160768506,349.255045105046,452.012186922926,564.620655057557,544.883656912417,558.949633797359,522.531150761564,418.483400084003,564.626274732817,527.796919773012,442.246142586065,580.772482111306,430.299546877579,576.178408798848,534.791094861318,542.466100209574,555.160186793566,479.403908465265,558.893681216111,549.440562692106,468.32998161326,542.621949583174,558.287815673174,476.9028415083,566.798938826664,536.133515849316,532.46488309959,567.537285275411,522.386407502553,588.12903409569,525.009711889058,559.203640894891,545.648275189744,556.552126900714,330.471159965818,424.740213108296,393.4322904329,366.390673535769,319.629433985661
Median,455.351158662649,552.435209699231,545.472118847106,483.171646171344,527.258412421789,500.215089418846,558.909169206165,452.537417011272,549.314719760688,498.821111226236,548.259607173831,544.431369303055,553.455863953138,563.959484933887,531.858362169802,570.737473675026,516.058425374872,495.079941497541,572.569521289683,560.01802794955,571.524291234785,446.082721562143,541.589239382124,552.920636271563,537.605058103191,552.982203492184,560.570502126963,550.759044849614,349.880404428514,462.182053197498,570.54139837865,547.528637109207,562.234362495225,532.050220700729,425.528536330602,569.418209453584,529.586552149633,451.709949947969,584.038192831847,436.325434614456,583.428726495935,545.440496096696,548.621336861759,560.55259747034,487.170860133365,563.250089464321,555.333401936704,475.508716520824,548.500522158777,562.934540303843,481.849122744263,573.238915997137,544.602708372796,535.707911386761,571.303426140254,524.984134247942,595.656416719886,530.485810774791,564.669821380669,552.099210261872,561.785211769032,339.660352324178,437.936228346689,401.277662236218,368.205990096217,319.855085786209
F Mean,465.411210038102,555.104940139781,543.847549745967,479.30093467888,529.972295408996,503.153483468926,559.418306310975,467.772292590148,548.985523943248,501.420642894537,548.58989684554,543.1086602128,553.9825346341,566.064372436351,531.99405451499,576.876328834459,515.147693527885,498.067612121443,573.198838083141,560.646010520711,572.497905448132,454.552024194967,536.854333604549,551.779556336305,541.84018802386,558.348087171542,565.971334919976,546.058077724976,360.447881313826,462.731720723382,573.692183602798,550.060261059106,569.589733981489,533.343300245052,441.732981873164,573.578667849943,528.522297757113,460.09237512417,588.152476425536,464.182298742658,584.977059510451,539.456419376923,551.854075878532,563.072405934666,490.159203166636,562.797376297785,553.467197663104,482.966167043132,546.631510485092,560.31091543648,484.620154492563,572.282556756961,541.615462122533,533.729003318881,576.49557896533,523.757439317792,598.775805817391,531.939246533169,566.666067905297,550.509111083956,559.512934151629,349.3631210361,450.179377219506,409.724575214679,383.288974350627,346.714504975026
F Median,468.300701913003,561.030233023924,547.156741064108,489.33613579159,531.921393941786,505.025628266126,566.843060475797,471.076956209288,555.091728940073,505.508259620742,551.428049983148,549.139682433404,560.453122734036,571.405822665205,535.250441938314,580.99696873074,519.283235889783,505.189461407524,576.200468962728,564.26757568845,579.188736464749,467.398109380536,544.370918529394,555.837750314854,543.49249444698,562.303175799542,568.671172238071,551.132113564546,364.380577031184,473.76643826003,578.843621400294,551.877597437303,571.662311176469,541.631534349494,446.457225742987,578.311017819965,529.934320693601,467.738816332696,591.365650284589,467.675981801276,591.237428953979,548.764960970558,556.622550960146,567.663549299967,496.361546861493,566.2539522797,557.972185737056,487.775546749544,551.580108151911,564.92368142545,488.428397982015,577.834281876769,547.315450971304,537.253761265848,579.088766580031,524.814711763557,605.15793951374,536.608405379995,570.810692597849,554.407699820156,563.572318733505,358.828034023011,462.486958463596,415.59793131797,386.486051724978,347.269969725063
M Mean,435.582782727671,533.55821739592,537.927655816804,466.060845433561,520.044014432865,491.847819021531,543.820896513573,424.35067747898,537.396371835977,486.975648208018,538.287780479319,531.739540069565,540.745589922023,551.190039976945,523.589983699839,555.17018020241,507.288944912904,478.812751638911,564.18027069937,547.829869467606,560.697027461987,410.868909597163,523.547498366009,544.417794542522,530.565097177604,538.117198411143,549.161582642367,545.121530709069,338.378577359092,442.072799445146,555.466086283538,539.563996914493,548.341890764107,511.620340141659,395.243875982028,555.809812924965,527.088745152922,424.154880705448,573.63556767281,398.787609345469,567.605501079846,530.311393432122,533.232985165561,547.646660951925,467.831308506334,555.27717548281,545.484840677962,454.309619043723,538.685455146312,556.183412125733,469.484670193825,561.184294783288,530.472401731902,531.266719905309,558.391145414222,521.049205295741,577.712012222117,518.176458593375,552.125848735778,541.151371663441,553.599082302782,311.990606480107,402.298760761267,376.206667894602,350.132398209853,294.607723447249
M Median,440.740953962491,543.275979718384,543.748856940893,477.735386248645,523.152501846236,495.414787359434,551.67923726056,428.6242010002,543.188969471762,491.628779288156,544.342267307412,540.317161635969,544.90843478796,556.338571790043,527.849919258317,560.146449535392,512.60250660566,484.757571539587,569.57470011097,555.756394652365,565.295469175456,421.415689425517,538.309790206385,550.269357131174,532.625715183207,543.317683349033,550.900408463924,550.32361600803,335.007271370309,450.538365455397,562.052120050238,543.297200340807,552.26953078391,523.419865506446,399.865629017068,559.973045251547,529.331054732221,431.829056239967,576.761466225546,401.415874453137,575.008570365961,541.910132384832,539.650016403714,553.857051714761,475.554883649837,560.647219509395,552.775021788135,460.811276786453,546.018188093158,560.133684435791,474.517703193759,568.104524485505,541.842427355236,534.238185225763,563.068101943651,525.133012192459,585.693056092479,523.941936574275,557.984391521112,549.490326717042,559.88890923936,317.791058655651,415.613268745451,382.463467321444,348.95690531332,290.302374182882
