CNT,GGGI,Econ,Educ,Surv,Poli
ARE,.639,.456,1,.961,.139
ARM,.669,.671,1,.939,.068
AUS,.721,.719,1,.974,.193
BFL,.745,.731,1,.974,.275
BGR,.726,.716,.993,.979,.215
BHR,.615,.475,.987,.961,.037
BWA,.715,.819,1,.973,.068
CAN,.731,.732,1,.969,.222
CHL,.699,.565,.999,.979,.254
CYP,.684,.665,.998,.974,.100
CZE,.690,.647,1,.979,.134
DEU,.766,.691,.966,.979,.428
DNK,.754,.735,1,.970,.309
EGY,.614,.444,.952,.971,.087
ENG,.752,.700,.999,.974,.335
ESP,.738,.668,.998,.972,.316
FIN,.845,.794,1,.980,.607
FRA,.755,.676,1,.980,.365
GEO,.681,.679,.989,.967,.089
HRV,.700,.672,.995,.979,.154
HUN,.669,.672,.992,.979,.035
IDN,.682,.598,.987,.976,.168
ISR,.719,.678,1,.974,.224
IRL,.797,.709,1,.979,.502
IRN,.587,.357,.975,.971,.047
ITA,.719,.574,.995,.974,.331
JOR,.603,.381,.993,.966,.073
JPN,.660,.569,.990,.979,.103
KAZ,.718,.745,.995,.980,.153
KOR,.649,.537,.964,.973,.120
KWT,.624,.520,.997,.957,.022
LBN,.598,.440,.959,.970,.021
LTU,.744,.757,1,.979,.239
MAR,.597,.380,.925,.971,.110
MLT,.664,.595,.953,.970,.140
MYS,.666,.658,.985,.969,.051
NIR,.752,.700,.999,.974,.335
NLD,.756,.659,.994,.970,.401
NOR,.842,.818,1,.974,.576
NZL,.781,.765,.999,.970,.390
OMN,.612,.483,.973,.971,.021
POL,.727,.690,1,.979,.238
PRT,.737,.713,.993,.973,.268
QAT,.643,.619,.982,.957,.013
RUS,.691,.722,.997,.979,.066
SAU,.583,.328,.961,.966,.077
SGP,.712,.793,.975,.967,.111
SRB,.720,.670,.996,.973,.242
SVK,.679,.648,1,.973,.093
SVN,.786,.784,1,.973,.385
SWE,.815,.802,.999,.974,.486
THA,.699,.770,.990,.980,.057
TUR,.623,.464,.958,.980,.090
USA,.722,.752,1,.975,.162
ZAF,.764,.677,.995,.980,.404
