CNT,GGGI,Econ,Educ,Surv,Poli
ARE,.649,.459,.994,.965,.180
AUS,.731,.724,1,.970,.232
AUT,.709,.660,.988,.975,.216
AZE,.676,.717,.984,.941,.063
BFL,.739,.716,1,.976,.264
BFR,.739,.716,1,.976,.264
BGR,.756,.710,.990,.979,.346
BHR,.632,.537,.991,.961,.037
CAN,.769,.744,1,.970,.361
CHL,.704,.573,.999,.978,.266
CZE,.688,.643,1,.980,.130
DEU,.778,.720,.970,.975,.447
DNK,.776,.728,1,.971,.406
EGY,.608,.413,.960,.971,.087
ENG,.770,.705,.999,.971,.404
ESP,.746,.657,.998,.973,.354
FIN,.823,.793,1,.978,.519
FRA,.778,.683,1,.977,.453
GEO,.679,.669,.989,.967,.093
HUN,.670,.675,.992,.979,.035
ISR,.721,.681,1,.971,.232
IRL,.794,.710,1,.971,.493
IRN,.583,.357,.965,.963,.046
ITA,.692,.571,.995,.967,.234
KAZ,.713,.744,.997,.979,.130
KWT,.628,.518,.996,.969,.027
LTU,.742,.749,1,.980,.241
LVA,.756,.798,1,.980,.246
MAR,.598,.391,.920,.965,.117
MLT,.682,.610,1,.971,.146
NIR,.770,.705,.999,.971,.404
NLD,.737,.657,1,.970,.323
NOR,.830,.816,.999,.973,.530
NZL,.791,.768,.998,.969,.430
OMN,.612,.483,.973,.971,.021
POL,.728,.702,1,.980,.230
PRT,.734,.730,.992,.977,.240
QAT,.626,.523,1,.965,.016
RUS,.696,.724,.997,.980,.085
SAU,.584,.320,.975,.965,.077
SGP,.702,.752,.977,.971,.110
SVK,.694,.662,1,.980,.135
SVN,.805,.801,1,.980,.440
SWE,.816,.809,.999,.969,.486
TTO,.723,.702,.992,.980,.218
USA,.718,.776,1,.973,.124
ZAF,.756,.652,.993,.980,.399
